,Law | Deuteronomium,Law | Leviticus,Narrative | Genesis,Narrative | Samuel_I,Poetry_Wisdom | Proverbia,Poetry_Wisdom | Psalmi,Prophecy | Amos,Prophecy | Jesaia
Law | Deuteronomium,0.9999999999999999,0.2732099676444241,0.3770654515972119,0.45809088077469085,0.268296687409308,0.40303469122005314,0.37470261087171153,0.41101903376826343
Law | Leviticus,0.2732099676444241,1.0000000000000004,0.17230550279120327,0.22783007971434235,0.14983280712133606,0.18779394069844949,0.18724106157679166,0.23706960969225505
Narrative | Genesis,0.3770654515972119,0.17230550279120327,1.0000000000000004,0.5886612883995708,0.2764441573151936,0.2848720521153527,0.45563668052465467,0.47140017281298985
Narrative | Samuel_I,0.45809088077469085,0.22783007971434235,0.5886612883995708,0.9999999999999999,0.31638303728742023,0.38639869994823606,0.5399214093552985,0.5934439029391243
Poetry_Wisdom | Proverbia,0.268296687409308,0.14983280712133606,0.2764441573151936,0.31638303728742023,1.0000000000000009,0.43109329819545095,0.25308551428726483,0.3640799017112711
Poetry_Wisdom | Psalmi,0.40303469122005314,0.18779394069844949,0.2848720521153527,0.38639869994823606,0.43109329819545095,1.0,0.331918178711819,0.47392487716608833
Prophecy | Amos,0.37470261087171153,0.18724106157679166,0.45563668052465467,0.5399214093552985,0.25308551428726483,0.331918178711819,0.9999999999999997,0.5224695805106819
Prophecy | Jesaia,0.41101903376826343,0.23706960969225505,0.47140017281298985,0.5934439029391243,0.3640799017112711,0.47392487716608833,0.5224695805106819,1.0
