genre,lex_clean,frequency
Law,XMY/,4
Law,XZH/,4
Law,YBJ=/,4
Law,<RB/,3
Law,<RK/,3
Law,<WN/,3
Law,>B/,3
Law,>BD[,3
Law,>BJB/,3
Law,>DMH/,3
Law,>K,3
Law,>LMNH/,3
Law,>WH/,3
Law,>YL/,3
Law,BGD/,3
Law,CBV/,3
Law,CC/,3
Law,CS<[,3
Law,CWQ/,3
Law,DRC[,3
Law,DWR/,3
Law,FH/,3
Law,JKL[,3
Law,JQD[,3
Law,JR>[,3
Law,JTWM/,3
Law,JWNH/,3
Law,KLJL/,3
Law,KR<JM/,3
Law,LBC[,3
Law,M<FH/,3
Law,MCLX/,3
Law,MLX/,3
Law,MXBT/,3
Law,MXNH/,3
Law,NBJ>/,3
Law,NDX[,3
Law,NTX/,3
Law,NWX[,3
Law,P<M/,3
Law,QDC[,3
Law,QHL/,3
Law,QMY/,3
Law,QR>[,3
Law,QYH=/,3
Law,R</,3
Law,R<<[,3
Law,R<=/,3
Law,TBW>H/,3
Law,TW<BH/,3
Law,TWR/,3
Law,XLM[,3
Law,XLWM/,3
Law,XPCJ/,3
Law,XWY/,3
Law,YDQ/,3
Law,ZKR[,3
Law,<BRJ/,2
Law,<CQ[,2
Law,<DH/,2
Law,<FJRJ/,2
Law,<FR[,2
Law,<MJT/,2
Law,<NQ[,2
Law,<WR=/,2
Law,<ZB[,2
Law,>BDH/,2
Law,>CRH/,2
Law,>HB[,2
Law,>JPH/,2
Law,>LJH/,2
Law,>M/,2
Law,>PH[,2
Law,>WH[,2
Law,>WT/,2
Law,B<R[,2
Law,BD/,2
Law,BDL[,2
Law,BKWRJM/,2
Law,BLJ<L/,2
Law,BRKH/,2
Law,BV>[,2
Law,C>L[,2
Law,CBJ<J/,2
Law,CBR[,2
Law,CLC/,2
Law,CLJCJ/,2
Law,CLL/,2
Law,CLM[,2
Law,CMV[,2
Law,CPK/,2
Law,CPV[,2
Law,CQL/,2
Law,CQR/,2
Law,CRY/,2
Law,CWB[,2
Law,CXD/,2
Law,DBQ[,2
Law,DGN/,2
Law,DJ/,2
Law,DRK/,2
Law,F<JR/,2
Law,F<JRH/,2
Law,F>R/,2
Law,FN>[,2
Law,GBWL/,2
Law,GM,2
Law,GRF/,2
Law,GRN/,2
Law,HR/,2
Law,HRG[,2
Law,JMJN/,2
Law,JQB/,2
Law,JXDW,2
Law,JYHR/,2
Law,JYQ[,2
Law,KBH[,2
Law,KLJ/,2
Law,KXC[,2
Law,LJLH/,2
Law,M<L=/,2
Law,M<L[,2
Law,M>WM/,2
Law,MCL[,2
Law,MCXH==/,2
Law,MKR[,2
Law,ML>=/,2
Law,ML>KH/,2
Law,MLQ[,2
Law,MRXCT/,2
Law,MWCB/,2
Law,MWPT/,2
Law,MXYJT/,2
Law,MY>[,2
Law,MYBH/,2
Law,MYH[,2
Law,NDR[,2
Law,NGF[,2
Law,NKH[,2
Law,NKRJ/,2
Law,NTX[,2
Law,PCV[,2
Law,PDH[,2
Law,PDR/,2
Law,PH/,2
Law,PQDWN/,2
Law,PRKT/,2
Law,PT/,2
Law,QFQFT/,2
Law,QJR/,2
Law,QMY[,2
Law,QWM[,2
Law,RB/,2
Law,RBH[,2
Law,RBK[,2
Law,RJQM,2
Law,RQJQ/,2
Law,RXQ[,2
Law,RXY[,2
Law,RYH[,2
Law,SKH/,2
Law,SNPJR/,2
Law,SPR[,2
Law,TJRWC/,2
Law,TMJD/,2
Law,TNWPH/,2
Law,TNWR/,2
Law,TXT/,2
Law,VBL[,2
Law,XDC=/,2
Law,XLL[,2
Law,XMJCJT/,2
Law,XQH/,2
Law,XRB/,2
Law,XYR/,2
Law,<BR[,1
Law,<CQ/,1
Law,<D=/,1
Law,<MH/,1
Law,<NJ/,1
Law,<NJ=/,1
Law,<RB===/,1
Law,<RP/,1
Law,<TH,1
Law,<VLP/,1
Law,<WD/,1
Law,<WR/,1
Law,<WR=[,1
Law,<YH==/,1
Law,<YRT/,1
Law,<ZNJH/,1
Law,>BH[,1
Law,>BN/,1
Law,>CH/,1
Law,>CMH/,1
Law,>JB[,1
Law,>JH/,1
Law,>LH=/,1
Law,>MT/,1
Law,>MY[,1
Law,>NPH/,1
Law,>P,1
Law,>P/,1
Law,>PS/,1
Law,>QW/,1
Law,>RNBT/,1
Law,>SP[,1
Law,>XRWN/,1
Law,>ZN/,1
Law,B<L/,1
Law,BJN/,1
Law,BLT/,1
Law,BNH[,1
Law,BQC[,1
Law,BRJT/,1
Law,BVX/,1
Law,C>R[,1
Law,CBT[,1
Law,CBW<H/,1
Law,CGG[,1
Law,CGH[,1
Law,CKR=/,1
Law,CLK/,1
Law,CLK[,1
Law,CMC/,1
Law,CMD[,1
Law,CNJ/,1
Law,CPN/,1
Law,CQY/,1
Law,CS</,1
Law,CVP[,1
Law,CVR[,1
Law,CXP/,1
Law,DBC/,1
