,Law,Narrative,Poetry_Wisdom,Prophecy
Law,0.0,0.5833211645932412,0.5988781351724483,0.5444806255498118
Narrative,0.5833211645932412,0.0,0.5551744311604022,0.31487124538543243
Poetry_Wisdom,0.5988781351724483,0.5551744311604022,0.0,0.4660366869110224
Prophecy,0.5444806255498118,0.31487124538543243,0.4660366869110224,0.0
