book,chapter,verse,genre,word_node,word,lex,pos,word_utf8,gloss,lex_clean
Genesis,37,7,Narrative,20282,קָ֥מָה,QWM[,verb,קָ֥מָה,arise,QWM[
Genesis,37,7,Narrative,20283,אֲלֻמָּתִ֖י,>LMH/,subs,אֲלֻמָּתִ֖י,sheaf,>LMH/
Genesis,37,7,Narrative,20285,גַם־,GM,advb,גַם,even,GM
Genesis,37,7,Narrative,20286,נִצָּ֑בָה,NYB[,verb,נִצָּ֑בָה,stand,NYB[
Genesis,37,7,Narrative,20289,תְסֻבֶּ֨ינָה֙,SBB[,verb,תְסֻבֶּ֨ינָה֙,turn,SBB[
Genesis,37,7,Narrative,20290,אֲלֻמֹּ֣תֵיכֶ֔ם,>LMH/,subs,אֲלֻמֹּ֣תֵיכֶ֔ם,sheaf,>LMH/
Genesis,37,7,Narrative,20292,תִּֽשְׁתַּחֲוֶ֖יןָ,XWH[,verb,תִּֽשְׁתַּחֲוֶ֖יןָ,bow down,XWH[
Genesis,37,7,Narrative,20294,אֲלֻמָּתִֽי׃,>LMH/,subs,אֲלֻמָּתִֽי,sheaf,>LMH/
Genesis,37,8,Narrative,20296,יֹּ֤אמְרוּ,>MR[,verb,יֹּ֤אמְרוּ,say,>MR[
Genesis,37,8,Narrative,20298,אֶחָ֔יו,>X/,subs,אֶחָ֔יו,brother,>X/
Genesis,37,8,Narrative,20300,מָלֹ֤ךְ,MLK[,verb,מָלֹ֤ךְ,be king,MLK[
Genesis,37,8,Narrative,20301,תִּמְלֹךְ֙,MLK[,verb,תִּמְלֹךְ֙,be king,MLK[
Genesis,37,8,Narrative,20304,מָשֹׁ֥ול,MCL[,verb,מָשֹׁ֥ול,rule,MCL[
Genesis,37,8,Narrative,20305,תִּמְשֹׁ֖ל,MCL[,verb,תִּמְשֹׁ֖ל,rule,MCL[
Genesis,37,8,Narrative,20308,יֹּוסִ֤פוּ,JSP[,verb,יֹּוסִ֤פוּ,add,JSP[
Genesis,37,8,Narrative,20309,עֹוד֙,<WD/,subs,עֹוד֙,duration,<WD/
Genesis,37,8,Narrative,20310,שְׂנֹ֣א,FN>[,verb,שְׂנֹ֣א,hate,FN>[
Genesis,37,8,Narrative,20313,חֲלֹמֹתָ֖יו,XLWM/,subs,חֲלֹמֹתָ֖יו,dream,XLWM/
Genesis,37,8,Narrative,20316,דְּבָרָֽיו׃,DBR/,subs,דְּבָרָֽיו,word,DBR/
Genesis,37,9,Narrative,20318,יַּחֲלֹ֥ם,XLM[,verb,יַּחֲלֹ֥ם,dream,XLM[
Genesis,37,9,Narrative,20319,עֹוד֙,<WD/,subs,עֹוד֙,duration,<WD/
Genesis,37,9,Narrative,20320,חֲלֹ֣ום,XLWM/,subs,חֲלֹ֣ום,dream,XLWM/
Genesis,37,9,Narrative,20321,אַחֵ֔ר,>XR=/,adjv,אַחֵ֔ר,other,>XR=/
Genesis,37,9,Narrative,20323,יְסַפֵּ֥ר,SPR[,verb,יְסַפֵּ֥ר,count,SPR[
Genesis,37,9,Narrative,20326,אֶחָ֑יו,>X/,subs,אֶחָ֑יו,brother,>X/
Genesis,37,9,Narrative,20328,יֹּ֗אמֶר,>MR[,verb,יֹּ֗אמֶר,say,>MR[
Genesis,37,9,Narrative,20330,חָלַ֤מְתִּֽי,XLM[,verb,חָלַ֤מְתִּֽי,dream,XLM[
Genesis,37,9,Narrative,20331,חֲלֹום֙,XLWM/,subs,חֲלֹום֙,dream,XLWM/
Genesis,37,9,Narrative,20332,עֹ֔וד,<WD/,subs,עֹ֔וד,duration,<WD/
Genesis,37,9,Narrative,20336,שֶּׁ֣מֶשׁ,CMC/,subs,שֶּׁ֣מֶשׁ,sun,CMC/
Genesis,37,9,Narrative,20339,יָּרֵ֗חַ,JRX=/,subs,יָּרֵ֗חַ,moon,JRX=/
Genesis,37,9,Narrative,20341,אַחַ֤ד,>XD/,subs,אַחַ֤ד,one,>XD/
Genesis,37,9,Narrative,20342,עָשָׂר֙,<FR/,subs,עָשָׂר֙,-teen,<FR/
Genesis,37,9,Narrative,20343,כֹּֽוכָבִ֔ים,KWKB/,subs,כֹּֽוכָבִ֔ים,star,KWKB/
Genesis,37,9,Narrative,20344,מִֽשְׁתַּחֲוִ֖ים,XWH[,verb,מִֽשְׁתַּחֲוִ֖ים,bow down,XWH[
Genesis,37,10,Narrative,20347,יְסַפֵּ֣ר,SPR[,verb,יְסַפֵּ֣ר,count,SPR[
Genesis,37,10,Narrative,20349,אָבִיו֮,>B/,subs,אָבִיו֮,father,>B/
Genesis,37,10,Narrative,20352,אֶחָיו֒,>X/,subs,אֶחָיו֒,brother,>X/
Genesis,37,10,Narrative,20354,יִּגְעַר־,G<R[,verb,יִּגְעַר,rebuke,G<R[
Genesis,37,10,Narrative,20356,אָבִ֔יו,>B/,subs,אָבִ֔יו,father,>B/
Genesis,37,10,Narrative,20358,יֹּ֣אמֶר,>MR[,verb,יֹּ֣אמֶר,say,>MR[
Genesis,37,10,Narrative,20362,חֲלֹ֥ום,XLWM/,subs,חֲלֹ֥ום,dream,XLWM/
Genesis,37,10,Narrative,20366,חָלָ֑מְתָּ,XLM[,verb,חָלָ֑מְתָּ,dream,XLM[
Genesis,37,10,Narrative,20368,בֹ֣וא,BW>[,verb,בֹ֣וא,come,BW>[
Genesis,37,10,Narrative,20369,נָבֹ֗וא,BW>[,verb,נָבֹ֗וא,come,BW>[
Genesis,37,10,Narrative,20372,אִמְּךָ֣,>M/,subs,אִמְּךָ֣,mother,>M/
Genesis,37,10,Narrative,20374,אַחֶ֔יךָ,>X/,subs,אַחֶ֔יךָ,brother,>X/
Genesis,37,10,Narrative,20376,הִשְׁתַּחֲוֹ֥ת,XWH[,verb,הִשְׁתַּחֲוֹ֥ת,bow down,XWH[
Genesis,37,10,Narrative,20378,אָֽרְצָה׃,>RY/,subs,אָֽרְצָה,earth,>RY/
Genesis,37,11,Narrative,20380,יְקַנְאוּ־,QN>[,verb,יְקַנְאוּ,be jealous,QN>[
Genesis,37,11,Narrative,20382,אֶחָ֑יו,>X/,subs,אֶחָ֑יו,brother,>X/
Genesis,37,11,Narrative,20384,אָבִ֖יו,>B/,subs,אָבִ֖יו,father,>B/
Genesis,37,11,Narrative,20385,שָׁמַ֥ר,CMR[,verb,שָׁמַ֥ר,keep,CMR[
Genesis,37,11,Narrative,20388,דָּבָֽר׃,DBR/,subs,דָּבָֽר,word,DBR/
Genesis,37,12,Narrative,20390,יֵּלְכ֖וּ,HLK[,verb,יֵּלְכ֖וּ,walk,HLK[
